District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
North Union Local School District,17200188.24,Union,12920 State Route 739,"Richwood, OH, 43344-9728",Richard J. Baird,91.24600000000001,84.952,83.84700000000001,76.0,C,0.4,11.3,17.1,27.3,24.400000000000002,19.400000000000002,0.2,113.944,95.0,0.0,0.6,1.7,10.6,26.7,58.300000000000004,2.2
Crestview Local,10033391.44,Columbiana,44100 Crestview Rd Ste A,"Columbiana, OH, 44408-9660",Matthew T. Manley,95.129,87.726,93.866,79.3,C,0.2,7.8,15.5,27.900000000000002,27.400000000000002,21.0,0.2,114.05300000000001,95.0,0.9,0.0,1.3,8.8,24.7,63.0,1.3
Crestview Local,10033391.44,Richland,1575 State Route 96,"Ashland, OH, 44805-9262",Larry R. Dunlap,92.22500000000001,89.83200000000001,93.802,76.9,C,0.1,10.700000000000001,15.700000000000001,29.900000000000002,26.6,16.9,0.1,117.045,97.5,0.0,0.0,0.0,3.4,23.900000000000002,71.60000000000001,1.1
Crestview Local,10033391.44,Van Wert,531 E Tully St,"Convoy, OH, 45832-8864",Michael Y. Estes,97.909,94.66600000000001,94.705,81.60000000000001,B,0.2,7.4,12.200000000000001,25.3,29.5,23.400000000000002,2.0,114.69,95.60000000000001,2.7,0.0,0.0,5.3,23.900000000000002,54.9,13.3
Lincolnview Local,8781905.64,Van Wert,15945 Middle Point Rd,"Van Wert, OH, 45891-9769",Jeffrey T. Snyder,90.86800000000001,89.214,91.001,75.7,C,0.4,11.700000000000001,16.6,27.8,26.1,16.3,1.0,111.44600000000001,92.9,2.4,0.0,2.4,7.2,32.5,50.6,4.8
Vinton County Local,25881946.35,Vinton,307 W High St,"Mc Arthur, OH, 45651-1093",Rick L. Brooks,81.997,76.974,82.421,68.3,D,0.5,18.1,23.5,26.1,17.6,14.0,0.2,109.513,91.3,0.0,1.2,4.9,15.8,34.300000000000004,42.6,1.2
Carlisle Local,16219449.75,Warren,724 Fairview Dr,"Carlisle, OH, 45005-3148",Larry R. Hook,91.01700000000001,86.125,93.524,75.8,C,0.3,12.3,15.8,27.900000000000002,25.2,17.7,0.7000000000000001,115.165,96.0,0.0,0.4,1.8,5.9,26.0,62.300000000000004,3.7
Springboro Community City,48512652.42,Warren,1685 S Main St,"Springboro, OH, 45066-1524",Daniel J. Schroer,101.741,97.90100000000001,97.15700000000001,84.8,B,0.9,4.5,9.6,23.7,28.5,30.900000000000002,1.9000000000000001,115.05600000000001,95.9,1.1,0.2,0.6,6.5,24.7,60.9,6.1000000000000005
Kings Local,45518366.28,Warren,1797 King Ave,"Kings Mills, OH, 45034",Timothy A. Ackermann,100.04,96.974,98.569,83.4,B,0.6,6.4,10.0,24.6,27.400000000000002,29.3,1.7,118.31500000000001,98.60000000000001,0.1,0.1,0.4,2.9,14.8,73.0,8.6
Little Miami Local,40663163.41,Warren,7247 Zoar Rd,"Maineville, OH, 45039-8098",Gregory Power,95.17200000000001,91.22,93.762,79.3,C,1.5,8.1,13.4,25.3,26.7,23.8,1.0,115.81,96.5,1.1,0.1,0.4,4.4,22.0,66.6,5.4
Mason City,110515464.01,Warren,211 N East St,"Mason, OH, 45040-1760",Gail E. Kist,105.04,102.13900000000001,100.24600000000001,87.5,B,1.2,3.5,6.4,18.7,29.0,40.6,0.7000000000000001,116.13,96.8,1.0,0.0,0.4,3.0,19.7,73.7,2.2
Wayne Local,12889275.52,Warren,659 Dayton Rd,"Waynesville, OH, 45068-9588",Patrick E. Dubbs,103.033,99.84,101.29100000000001,85.9,B,0.0,4.8,9.200000000000001,21.7,28.400000000000002,34.5,1.3,118.68900000000001,98.9,0.0,0.0,0.0,2.7,13.1,78.7,5.5
Fort Frye Local,9822700.45,Washington,510 5th St,"Beverly, OH, 45715-8916",Stephanie D. Starcher,89.114,83.943,90.614,74.3,C,0.0,12.8,18.900000000000002,29.1,22.5,15.9,0.7000000000000001,111.49300000000001,92.9,0.0,0.0,5.2,12.700000000000001,32.8,44.800000000000004,4.5
Frontier Local,7726614.449999999,Washington,44870 State Route 7,"New Matamoras, OH, 45767-6149",Brian J. Rentsch,83.12400000000001,77.071,78.545,69.3,D,0.0,18.400000000000002,22.1,26.2,18.2,15.1,0.0,113.774,94.8,0.0,0.0,1.9000000000000001,15.1,20.8,62.300000000000004,0.0
Warren Local,20495168.73,Washington,220 Sweetapple Rd,"Vincent, OH, 45784-5005",Kyle R. Newton,88.77,83.12700000000001,94.34,74.0,C,0.0,12.700000000000001,19.5,28.7,23.6,14.8,0.6,112.48700000000001,93.7,0.0,0.3,3.0,13.3,32.2,47.2,4.0
Wolf Creek Local,7288363.720000001,Washington,PO Box 67,"Waterford, OH, 45786-0067",Douglas A. Baldwin,88.702,84.378,88.46000000000001,73.9,C,0.0,14.6,17.7,25.7,24.2,17.8,0.0,112.54,93.8,0.0,0.0,4.8,9.5,27.0,58.7,0.0
Chippewa Local,12482386.84,Wayne,56 N Portage St,"Doylestown, OH, 44230-1350",Sandra J. Stebly,100.56400000000001,98.19800000000001,101.009,83.8,B,0.2,5.6000000000000005,10.6,23.7,32.0,27.1,0.9,115.647,96.4,0.0,0.0,1.2,5.3,30.0,59.4,4.1
Dalton Local,8284254.15,Wayne,PO Box 514,"Dalton, OH, 44618-0514",James R. Saxer,96.63600000000001,96.33500000000001,100.122,80.5,B,0.5,8.0,12.4,26.3,29.2,23.7,0.0,115.714,96.4,0.0,0.0,0.0,7.1000000000000005,28.6,64.3,0.0
Green Local,10659911.28,Scioto,4070 Gallia Pike,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,75.94200000000001,72.897,81.62,63.300000000000004,D,0.0,25.6,23.2,27.8,14.9,8.4,0.0,113.182,94.3,0.0,0.0,4.5,9.1,22.7,63.6,0.0
Green Local,10659911.28,Summit,PO Box 218,"Green, OH, 44232-0218",Jeffrey L. Miller II,99.54100000000001,96.34700000000001,101.933,83.0,B,0.0,6.4,11.3,26.2,28.400000000000002,26.3,1.4000000000000001,117.59100000000001,98.0,0.0,0.2,0.4,3.9,19.8,67.5,8.1
Green Local,10659911.28,Wayne,PO Box 438,"Smithville, OH, 44677-0438",Dean E. Frank,95.132,89.97500000000001,86.82000000000001,79.3,C,0.0,8.9,14.5,28.5,24.400000000000002,23.3,0.3,115.756,96.5,0.0,0.0,0.4,9.200000000000001,23.5,64.7,2.1
Norwayne Local,11695114.93,Wayne,350 S Main St,"Creston, OH, 44217-9665",Karen E. O'Hare,102.095,96.02900000000001,101.778,85.10000000000001,B,0.1,3.6,11.4,24.8,29.0,29.7,1.3,117.38600000000001,97.8,0.8,0.0,0.8,3.3000000000000003,14.1,71.4,9.5
Northwestern Local,16247744.11,Clark,5610 Troy Rd,"Springfield, OH, 45502-9032",Jesse D. Steiner,86.887,83.98400000000001,92.12700000000001,72.4,C,0.3,16.3,16.9,28.6,21.6,16.0,0.2,112.54400000000001,93.8,0.9,0.0,3.5,11.0,23.2,59.2,2.2
Northwestern Local,16247744.11,Wayne,7571 N Elyria Rd,"West Salem, OH, 44287-9707",Jeffrey N. Layton,91.82600000000001,89.843,93.45400000000001,76.5,C,0.0,11.6,16.8,26.900000000000002,23.7,20.5,0.5,116.64800000000001,97.2,0.0,0.0,0.6,5.0,24.6,65.4,4.5
Southeast Local,16476318.110000001,Portage,8245 Tallmadge Rd,"Ravenna, OH, 44266-8547",Robert C. Dunn,87.483,85.717,92.76700000000001,72.9,C,0.1,16.6,16.3,28.0,21.5,17.2,0.3,113.64,94.7,0.0,1.6,0.4,10.8,26.8,58.800000000000004,1.6
Southeast Local,16476318.110000001,Wayne,9048 Dover Rd,"Apple Creek, OH, 44606-9408",James J. Ritchie,92.333,92.319,92.15,76.9,C,0.0,10.8,16.8,27.3,24.2,20.8,0.0,116.97800000000001,97.5,0.0,0.0,0.0,4.3,22.3,72.7,0.7000000000000001
