District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
Maumee City,30657579.259999998,Lucas,716 Askin St,"Maumee, OH, 43537-3602",Todd M. Cramer,94.19200000000001,89.852,94.19200000000001,78.5,C,0.1,10.3,14.4,26.400000000000002,25.7,22.400000000000002,0.7000000000000001,117.593,98.0,0.0,0.3,0.0,3.7,20.900000000000002,68.2,6.9
Mayfield City,60282524.660000004,Cuyahoga,1101 S.O.M. Center Road,"Mayfield Heights, OH, 44124-2006",KEITH W. KELLY,95.705,92.866,98.27900000000001,79.8,C,0.0,9.200000000000001,14.3,26.0,25.5,21.900000000000002,3.2,118.08,98.4,0.0,0.4,0.8,4.2,19.900000000000002,56.800000000000004,17.900000000000002
Medina City SD,76149631.44,Medina,739 Weymouth Rd,"Medina, OH, 44256-2037",Aaron J. Sable,94.63300000000001,91.47200000000001,94.988,78.9,C,0.6,8.8,14.200000000000001,28.3,26.5,20.8,0.8,113.775,94.8,0.7000000000000001,0.2,1.0,11.200000000000001,28.1,54.300000000000004,4.5
Miamisburg City,55689149.120000005,Montgomery,540 E. Park Ave,"Miamisburg, OH, 45342-2854",David S. Vail,91.653,89.60900000000001,92.62,76.4,C,0.1,13.3,14.4,25.3,25.900000000000002,20.3,0.7000000000000001,115.69800000000001,96.4,0.0,0.1,1.4000000000000001,6.8,24.400000000000002,63.2,4.1
Middletown City,61401991.14,Butler,1 Donham Plz 4th Fl,"Middletown, OH, 45042-1932",Marlon J. Styles,71.416,67.357,76.596,59.5,D,0.7000000000000001,30.5,23.3,24.3,13.9,7.2,0.0,110.97,92.5,0.3,1.3,3.0,12.0,32.1,51.2,0.0
Mt Healthy City,36027144.129999995,Hamilton,7615 Harrison Ave,"Cincinnati, OH, 45231-3107",Reva C. Cosby,61.144000000000005,60.566,72.79,51.0,D,3.3000000000000003,37.1,28.1,19.400000000000002,8.8,3.5,0.0,102.87700000000001,85.7,0.7000000000000001,2.1,11.0,23.3,32.2,30.8,0.0
Mount Vernon City,39142002.25,Knox,300 Newark Rd,"Mount Vernon, OH, 43050-4510",William D. Seder,91.607,87.328,96.084,76.3,C,0.1,13.4,14.5,25.7,24.6,20.5,1.2,115.977,96.60000000000001,0.1,0.4,1.2,6.9,22.3,61.6,7.5
Napoleon Area City,19767843.58,Henry,701 Briarheath Ave Ste 108,"Napoleon, OH, 43545-1251",Stephen R. Fogo,94.26400000000001,89.247,92.266,78.60000000000001,C,0.0,10.0,15.1,26.3,25.6,22.0,1.1,116.289,96.9,0.0,0.0,1.9000000000000001,7.5,17.0,67.3,6.3
Nelsonville-York City,14129148.85,Athens,2 Buckeye Dr,"Nelsonville, OH, 45764-9591",Charles D. McClelland,73.02600000000001,71.28,88.658,60.9,D,0.1,27.0,26.3,26.7,14.6,5.3,0.1,112.22200000000001,93.5,0.0,0.0,2.8000000000000003,8.3,47.2,38.9,2.8000000000000003
Newark City,65042525.769999996,Licking,621 Mount Vernon Rd,"Newark, OH, 43055-4615",Douglas C. Ute,85.436,82.277,91.39200000000001,71.2,C,0.1,16.2,20.5,27.2,21.2,14.5,0.2,114.465,95.4,0.0,0.0,2.0,9.1,27.3,59.4,2.2
New Boston Local,4597585.5600000005,Scioto,#1 Glenwood Tiger Trail,"New Boston, OH, 45662",Melinda M. Burnside,79.477,63.429,78.233,66.2,D,0.0,23.1,19.8,30.2,18.6,8.3,0.0,103.88900000000001,86.60000000000001,0.0,0.0,8.3,41.7,27.8,22.2,0.0
New Lexington School District,22083745.060000002,Perry,2549 Panther Drive,"New Lexington, OH, 43764-0630",Casey H. Coffey,82.989,76.09100000000001,83.287,69.2,D,0.2,18.900000000000002,20.8,26.0,22.0,11.6,0.6,109.875,91.60000000000001,0.0,2.5,5.6000000000000005,12.5,23.8,51.9,3.8000000000000003
New Philadelphia City,29092618.05,Tuscarawas,248 Front Ave SW,"New Philadelphia, OH, 44663-2150",David J. Brand,86.048,88.66600000000001,84.808,71.7,C,0.9,16.1,18.3,26.900000000000002,20.8,16.2,0.8,114.92500000000001,95.8,0.0,0.6,1.5,9.200000000000001,23.900000000000002,59.2,5.6000000000000005
Niles City,25218788.16,Trumbull,309 N Rhodes Ave,"Niles, OH, 44446-3821",Ann Marie A. Thigpen,83.196,82.47200000000001,90.254,69.3,D,0.4,18.7,20.2,27.6,19.5,13.3,0.3,113.308,94.4,0.0,1.2,2.3000000000000003,10.0,26.2,56.9,3.5
North Canton City,44712188.54,Stark,525 7th St NE,"North Canton, OH, 44720-2012",Jeff S. Wendorf,100.742,97.748,100.03200000000001,84.0,B,0.1,5.9,10.3,25.7,27.8,27.8,2.4,118.173,98.5,0.0,0.1,0.4,4.1,18.400000000000002,65.2,11.700000000000001
North College Hill City,14714714.56,Hamilton,1731 Goodman Ave,"Cincinnati, OH, 45239-4844",Eugene E. Blalock,60.944,61.449000000000005,70.77600000000001,50.800000000000004,D,0.0,42.0,27.8,18.900000000000002,7.9,3.5,0.0,105.581,88.0,0.0,2.3000000000000003,7.0,27.900000000000002,25.6,37.2,0.0
North Olmsted City,56636536.91,Cuyahoga,26669 Butternut Ridge Rd,"North Olmsted, OH, 44070-3154",Michael E. Zalar,88.52600000000001,88.24900000000001,95.41600000000001,73.8,C,1.5,13.700000000000001,16.0,27.2,24.7,16.3,0.7000000000000001,114.48700000000001,95.4,0.9,0.0,1.5,6.6000000000000005,27.5,58.2,5.3
North Ridgeville City,37478078.9,Lorain,5490 Mills Creek Ln,"North Ridgeville, OH, 44039-2339",James E. Powell,89.678,86.85900000000001,92.275,74.7,C,0.0,12.200000000000001,17.8,30.8,25.1,14.0,0.1,111.778,93.10000000000001,0.0,0.3,2.4,15.6,35.300000000000004,45.2,1.2
North Royalton City,47947628.75,Cuyahoga,6579 Royalton Rd,"North Royalton, OH, 44133-4925",Gregory J. Gurka,101.09100000000001,98.82300000000001,102.561,84.2,B,0.0,5.8,10.200000000000001,25.8,27.0,28.6,2.7,117.79400000000001,98.2,0.0,0.0,0.8,6.1000000000000005,18.1,61.9,13.1
Norton City,23617990.07,Summit,4128 Cleveland Massillon Rd,"Norton, OH, 44203-5633",Dana W. Addis,93.525,90.66300000000001,94.729,77.9,C,0.1,9.3,16.0,29.8,25.1,18.2,1.3,117.376,97.8,0.0,0.0,0.7000000000000001,7.8,19.1,59.6,12.8
Norwalk City,25806416.13,Huron,134 Benedict Ave,"Norwalk, OH, 44857-2349",George E. Fisk,87.73,82.111,84.27300000000001,73.10000000000001,C,0.6,13.4,18.400000000000002,30.2,23.7,13.6,0.0,115.08500000000001,95.9,0.0,0.0,0.0,1.7,45.800000000000004,52.5,0.0
Norwood City,26103989.029999997,Hamilton,2132 Williams Ave,"Norwood, OH, 45212-3806",Katherine S. Sabo,86.147,82.76100000000001,89.95100000000001,71.8,C,0.5,17.0,17.6,26.400000000000002,21.3,17.1,0.1,114.69800000000001,95.60000000000001,0.0,0.7000000000000001,2.0,10.1,16.1,69.8,1.3
Oakwood City,26219566.540000003,Montgomery,20 Rubicon Rd,"Dayton, OH, 45409-2239",KYLE B. RAMEY,108.41300000000001,107.66,108.10300000000001,90.3,A,0.0,2.4,5.7,17.400000000000002,29.3,41.300000000000004,4.0,117.911,98.3,0.0,0.1,0.5,3.6,19.3,67.3,9.200000000000001
Oberlin City Schools,13423666.98,Lorain,153 N Main St,"Oberlin, OH, 44074-1173",David H. Hall,89.128,87.02900000000001,92.77,74.3,C,0.4,15.3,17.400000000000002,22.5,21.2,19.3,3.9,114.623,95.5,0.0,1.6,2.6,6.9,24.900000000000002,48.5,15.4
Oregon City,41791200.77,Lucas,5721 Seaman St,"Oregon, OH, 43616-2631",Hal D. Gregory,89.05,86.187,92.186,74.2,C,0.0,12.1,19.0,31.3,23.900000000000002,13.6,0.1,111.52,92.9,0.0,0.0,2.9,13.8,41.300000000000004,40.9,1.2
Orrville City,15909196.870000001,Wayne,815 N Ella St,"Orrville, OH, 44667-1154",James J. Ritchie,90.96300000000001,86.271,93.98100000000001,75.8,C,0.0,12.9,16.2,26.7,23.8,20.400000000000002,0.0,115.412,96.2,0.0,0.0,0.6,8.2,26.5,64.1,0.6
Painesville City Local,35527285.94,Lake,58 Jefferson St,"Painesville, OH, 44077-3114",John T. Shepard,67.878,65.016,74.447,56.6,D,0.8,33.3,25.1,25.1,11.1,4.7,0.0,110.069,91.7,0.7000000000000001,1.4000000000000001,1.4000000000000001,20.1,29.900000000000002,46.5,0.0
Parma City,142678744.78,Cuyahoga,5311 Longwood Avenue,"Parma, OH, 44134-0932",Carl H. Hilling,83.327,81.241,90.352,69.4,D,0.7000000000000001,18.2,19.900000000000002,27.900000000000002,20.6,12.1,0.6,113.96000000000001,95.0,0.0,0.3,2.4,10.200000000000001,27.900000000000002,53.800000000000004,5.4
Piqua City,36696724.129999995,Miami,719 E Ash St,"Piqua, OH, 45356-2411",Dwayne A. Thompson,82.64500000000001,78.538,84.02,68.9,D,0.3,19.400000000000002,20.1,27.900000000000002,20.1,11.6,0.6,112.727,93.9,0.0,1.3,2.5,13.1,27.5,48.0,7.6000000000000005
Port Clinton City,20562903.79,Ottawa,811 Jefferson St,"Port Clinton, OH, 43452-2415",Patrick D. Adkins,89.38,86.917,91.601,74.5,C,0.1,13.0,17.8,28.7,24.2,16.3,0.0,116.211,96.8,0.0,0.0,0.0,6.3,25.3,68.4,0.0
Portsmouth City,22754598.12,Scioto,724 Findlay St,"Portsmouth, OH, 45662-4113",Gary S. Dutey,73.313,68.35600000000001,78.168,61.1,D,0.2,27.6,25.0,25.7,14.3,7.2,0.0,111.102,92.60000000000001,0.0,0.0,2.4,17.3,40.2,40.2,0.0
Princeton City,73037440.54,Hamilton,3900 Cottingham Dr,"Cincinnati, OH, 45241-1616",Thomas S. Tucker,77.35600000000001,76.004,89.281,64.5,D,0.7000000000000001,24.400000000000002,22.6,23.6,16.5,12.0,0.3,113.57300000000001,94.60000000000001,0.5,0.0,2.6,10.200000000000001,25.6,58.2,2.9
Ravenna City,26833214.47,Portage,507 E Main St,"Ravenna, OH, 44266-3257",Dennis M. Honkala,79.787,81.01700000000001,89.52300000000001,66.5,D,0.1,22.0,21.8,26.2,18.900000000000002,10.9,0.0,111.138,92.60000000000001,0.0,1.6,2.4,13.0,33.3,49.6,0.0
Reading Community City,16333090.079999998,Hamilton,1301 Bonnell St,"Reading, OH, 45215-3322",Charles R. Lafata,87.093,83.876,90.705,72.60000000000001,C,0.0,15.200000000000001,18.5,29.3,22.1,14.9,0.0,116.111,96.8,0.0,0.0,1.2,2.5,27.2,68.5,0.6
Rocky River City,36149479.98,Cuyahoga,1101 Morewood Pkwy,"Rocky River, OH, 44116-1439",Michael G. Shoaf,109.405,107.08800000000001,106.89200000000001,91.2,A,0.1,1.9000000000000001,5.4,16.8,26.2,45.4,4.2,119.209,99.3,0.0,0.1,0.3,2.7,13.4,70.3,13.3
St Bernard-Elmwood Place City,12211613.85,Hamilton,105 Washington Ave,"Saint Bernard, OH, 45217-1317",Mary Eleanor E. Webb,81.286,74.238,82.19500000000001,67.7,D,0.0,20.0,22.3,27.7,17.900000000000002,12.1,0.0,113.846,94.9,0.0,0.0,2.6,7.7,30.8,59.0,0.0
St Marys City,20493622.45,Auglaize,100 W Spring St,"Saint Marys, OH, 45885-2312",Howard A. Overman,94.473,91.548,99.742,78.7,C,0.0,9.3,15.5,26.0,27.0,22.2,0.0,117.316,97.8,0.0,0.0,0.5,2.6,18.900000000000002,77.4,0.5
Salem City,19079260.4,Columbiana,1226 E State St,"Salem, OH, 44460-2222",Joseph A. Shivers,87.144,86.181,85.611,72.60000000000001,C,0.6,14.200000000000001,18.7,30.1,21.900000000000002,14.4,0.1,114.024,95.0,0.0,0.4,0.8,13.8,25.2,58.1,1.6
Sandusky City,43597292.65,Erie,407 Decatur St,"Sandusky, OH, 44870-2442",Eugene T. Sanders,70.235,64.99,74.186,58.5,D,0.1,32.9,23.400000000000002,23.6,13.3,6.7,0.1,110.99300000000001,92.5,0.0,0.5,2.8000000000000003,17.3,35.5,42.800000000000004,1.2
Shaker Heights City,89332545.37,Cuyahoga,15600 Parkland Dr,"Shaker Heights, OH, 44120-2529",Gregory C. Hutchings,87.607,87.765,92.714,73.0,C,0.2,17.3,16.8,22.3,21.400000000000002,21.2,0.8,115.10000000000001,95.9,0.1,0.4,1.3,7.8,25.6,59.800000000000004,5.0
Sheffield-Sheffield Lake City,18678506.21,Lorain,1824 Harris Rd,"Sheffield Village, OH, 44054-2628",Michael F. Cook,90.412,87.21600000000001,95.71000000000001,75.3,C,0.4,11.9,17.1,28.1,24.8,17.2,0.3,115.34100000000001,96.10000000000001,0.6,0.0,0.0,8.0,26.7,61.9,2.8000000000000003
Shelby City,19314511.23,Richland,25 High School Ave,"Shelby, OH, 44875-1576",Timothy S. Tarvin,92.31700000000001,89.674,91.69500000000001,76.9,C,0.2,11.6,14.9,28.2,24.6,19.8,0.6,117.83800000000001,98.2,0.0,0.0,0.0,1.4000000000000001,21.6,74.3,2.7
Sidney City,31804562.54,Shelby,750 S 4th Ave,"Sidney, OH, 45365-1163",John F. Scheu,82.708,81.497,89.302,68.9,D,0.7000000000000001,19.1,19.900000000000002,26.400000000000002,20.8,12.9,0.3,113.83800000000001,94.9,0.0,0.5,1.6,14.1,23.2,56.2,4.3
South Euclid-Lyndhurst City,55778575.79,Cuyahoga,5044 Mayfield Rd,"Lyndhurst, OH, 44124-2605",Linda N. Reid,75.27,72.973,88.11200000000001,62.7,D,0.5,24.900000000000002,25.5,24.3,15.5,9.0,0.2,110.733,92.3,1.8,0.3,3.8000000000000003,10.3,27.900000000000002,53.7,2.3000000000000003
South-Western City,233375619.28,Franklin,3805 Marlane Dr,"Grove City, OH, 43123-9224",William H. Wise,81.48400000000001,77.754,89.635,67.9,D,0.9,20.2,20.0,27.1,19.0,12.700000000000001,0.2,113.959,95.0,0.7000000000000001,0.3,1.7,8.0,25.6,61.1,2.6
Springfield City School District,94220226.1,Clark,1500 W Jefferson St,"Springfield, OH, 45506-1224",Robert F. Hill,68.671,65.015,74.116,57.2,D,0.6,34.0,24.1,21.8,12.5,7.1000000000000005,0.0,111.29400000000001,92.7,1.0,1.0,3.8000000000000003,10.5,22.400000000000002,59.800000000000004,1.4000000000000001
Steubenville City,25643953.759999998,Jefferson,PO Box 189,"Steubenville, OH, 43952-5189",Melinda M. Young,102.01400000000001,95.74900000000001,93.473,85.0,B,0.0,6.9,10.0,17.5,26.7,35.1,3.9,116.524,97.10000000000001,0.0,0.2,1.9000000000000001,5.2,26.8,50.5,15.4
Stow-Munroe Falls City School District,57142899.72,Summit,4350 Allen Rd,"Stow, OH, 44224-1032",Thomas P. Bratten,89.646,89.289,98.57000000000001,74.7,C,0.4,11.8,17.6,31.0,25.0,14.200000000000001,0.0,113.042,94.2,0.1,0.1,1.8,10.700000000000001,35.300000000000004,51.800000000000004,0.2
Strongsville City,68113829.0,Cuyahoga,18199 Cook Ave,"Strongsville, OH, 44136-5216",Cameron M. Ryba,95.71300000000001,94.76400000000001,101.09100000000001,79.8,C,0.5,8.4,13.5,27.3,27.8,21.1,1.5,116.757,97.3,0.2,0.1,0.6,5.0,22.900000000000002,64.2,7.0
Struthers City,20118842.39,Mahoning,99 Euclid Ave,"Struthers, OH, 44471-1831",Peter J. Pirone,83.116,79.825,88.90400000000001,69.3,D,0.4,17.900000000000002,21.0,29.1,20.0,11.5,0.2,115.0,95.8,0.0,0.0,0.9,7.0,33.3,56.1,2.6
Sycamore Community City,73491992.02,Hamilton,5959 Hagewa Dr,"Blue Ash, OH, 45242-6240",Frank A. Forsthoefel,103.531,101.905,95.84100000000001,86.3,B,1.3,5.0,8.8,18.5,24.2,31.5,10.6,118.45700000000001,98.7,0.9,0.1,0.8,4.4,16.9,49.800000000000004,27.1
Sylvania Schools,85077476.10000001,Lucas,4747 N Holland Sylvania Rd,"Sylvania, OH, 43560-2116",Adam D. Fineske,96.41600000000001,93.693,96.915,80.3,B,0.5,8.2,12.5,27.3,27.2,24.1,0.3,115.32000000000001,96.10000000000001,0.0,0.0,0.8,7.6000000000000005,26.8,63.5,1.2
Tallmadge City,27105904.9,Summit,486 East Ave,"Tallmadge, OH, 44278-2000",Jeffrey M. Ferguson,90.28,88.549,96.915,75.2,C,0.2,12.5,16.3,29.900000000000002,25.7,14.700000000000001,0.7000000000000001,115.084,95.9,0.0,0.3,1.3,10.0,26.400000000000002,53.5,8.4
Tiffin City,21384484.77,Seneca,244 S Monroe St,"Tiffin, OH, 44883-2906",Gary A. Barber,85.367,81.69800000000001,88.32900000000001,71.10000000000001,C,0.9,14.8,21.0,28.0,21.6,13.1,0.7000000000000001,110.34,91.9,1.1,0.6,3.2,15.1,33.6,41.300000000000004,5.1000000000000005
Toledo City,309748363.38,Lucas,1609 N Summit St,"Toledo, OH, 43604-1806",Romules L. Durant,63.978,61.642,70.63,53.300000000000004,D,1.5,38.1,24.6,20.7,10.5,4.5,0.1,99.268,82.7,0.7000000000000001,6.3,10.8,25.1,29.0,26.1,2.0
Toronto City,7867544.6899999995,Jefferson,1307 Dennis Way,"Toronto, OH, 43964-1952",Maureen R. Taggart,77.825,69.45,86.65,64.9,D,0.0,21.7,25.0,30.3,15.700000000000001,7.3,0.0,111.935,93.3,0.0,0.0,3.2,16.1,29.0,51.6,0.0
Troy City,44669107.11,Miami,500 N Market St,"Troy, OH, 45373-1418",Eric J. Herman,89.768,88.063,89.41300000000001,74.8,C,0.2,14.3,15.4,26.900000000000002,24.8,18.3,0.1,114.09,95.10000000000001,0.0,0.1,1.6,10.200000000000001,28.8,58.7,0.7000000000000001
Upper Arlington City,86780285.41,Franklin,1950 N Mallway Dr,"Upper Arlington, OH, 43221-4398",Paul W. Imhoff,99.474,101.031,103.34400000000001,82.9,B,2.9,5.0,9.5,23.2,26.7,28.1,4.6000000000000005,114.527,95.4,1.6,0.3,1.1,8.3,22.400000000000002,53.6,12.700000000000001
Urbana City,22479231.64,Champaign,711 Wood St,"Urbana, OH, 43078-1498",Charles B. Thiel,77.06,78.313,83.123,64.2,D,0.6,24.7,22.2,24.8,17.6,10.1,0.0,109.89200000000001,91.60000000000001,2.2,0.5,1.6,10.8,39.5,44.9,0.5
Vandalia-Butler City,30783642.159999996,Montgomery,500 S Dixie Dr,"Vandalia, OH, 45377-2128",Robert M. O'Leary,91.221,87.828,95.569,76.0,C,0.2,10.8,18.3,27.3,23.8,19.400000000000002,0.2,114.74600000000001,95.60000000000001,0.0,0.2,1.9000000000000001,7.9,24.7,64.4,0.9
Van Wert City,21569658.35,Van Wert,205 W Crawford St,"Van Wert, OH, 45891-1903",Staci A. Kaufman,85.548,82.488,90.349,71.3,C,0.2,15.4,19.900000000000002,30.400000000000002,22.900000000000002,11.200000000000001,0.0,113.581,94.7,0.0,0.0,0.9,13.1,32.8,53.300000000000004,0.0
Wadsworth City,43193824.43,Medina,524 Broad St,"Wadsworth, OH, 44281-2306",Andrew J. Hill,99.509,94.391,98.177,82.9,B,0.2,6.3,10.8,26.7,28.2,27.3,0.6,115.483,96.2,0.3,0.1,0.6,6.3,26.6,63.6,2.4
Wapakoneta City,25004203.19,Auglaize,1102 Gardenia Dr,"Wapakoneta, OH, 45895-1063",Keith W. Horner,91.02900000000001,90.199,95.123,75.9,C,0.3,11.8,16.7,26.900000000000002,25.1,18.8,0.3,114.534,95.4,0.0,0.4,3.0,6.8,25.0,59.300000000000004,5.5
Warren City,65573706.68000001,Trumbull,105 High Street,"Warren, OH, 44481",Stephen G. Chiaro,65.028,63.276,73.528,54.2,D,0.5,37.6,25.6,20.7,10.5,5.1000000000000005,0.0,109.424,91.2,0.0,1.4000000000000001,3.6,18.0,35.300000000000004,41.7,0.0
Warrensville Heights City,28024188.57,Cuyahoga,4500 Warrensville Center Rd,"Warrensville Heights, OH, 44128-4134",Donald J. Jolly,59.017,52.757000000000005,70.803,49.2,F,1.0,43.6,26.400000000000002,20.1,6.7,2.2,0.0,71.667,59.7,0.0,33.3,25.0,8.3,16.7,16.7,0.0
Washington Court House City,19911188.439999998,Fayette,306 Highland Ave,"Washington Court Hou, OH, 43160-1819",Thomas S. Bailey,80.64200000000001,78.444,85.934,67.2,D,0.4,21.2,21.5,24.8,19.400000000000002,12.4,0.3,113.137,94.3,2.0,0.0,1.0,6.9,28.400000000000002,58.800000000000004,2.9
Wellston City,18764504.12,Jackson,1 E Broadway St,"Wellston, OH, 45692-1225",Karen P. Boch,80.507,76.247,82.108,67.1,D,0.3,21.5,21.2,25.7,19.400000000000002,11.6,0.3,107.357,89.5,0.0,3.6,5.0,19.3,28.6,40.7,2.9
Wellsville Local,9521116.07,Columbiana,929 Center St,"Wellsville, OH, 43968-1423",Richard E. Bereschik,82.686,79.319,86.827,68.9,D,0.7000000000000001,16.0,23.400000000000002,30.400000000000002,20.2,9.4,0.0,112.432,93.7,0.0,0.0,5.4,5.4,32.4,56.800000000000004,0.0
Westerville City,159467351.9,Franklin,936 Eastwind Dr Ste 200,"Westerville, OH, 43081-3319",John R. Kellogg,90.584,89.40100000000001,97.17800000000001,75.5,C,0.5,13.6,15.4,25.5,22.6,21.2,1.1,115.247,96.0,0.5,0.3,1.0,8.0,22.8,61.4,5.9
West Carrollton City,42750311.45,Montgomery,430 E Pease Ave,"West Carrollton, OH, 45449-1357",Andrea Townsend,77.05,72.309,79.53,64.2,D,0.0,25.400000000000002,22.6,24.7,16.7,10.1,0.6,112.5,93.8,0.0,0.8,4.2,11.0,28.400000000000002,48.5,7.2
Westlake City,49153920.05,Cuyahoga,24525 Hilliard Blvd,"Westlake, OH, 44145-3518",Scott E. Goggin,101.494,98.093,100.769,84.60000000000001,B,0.6,5.3,10.5,22.2,25.8,32.9,2.7,117.876,98.2,0.8,0.0,0.1,3.4,15.5,68.60000000000001,11.700000000000001
Whitehall City,37059117.72,Franklin,625 S Yearling Rd,"Whitehall, OH, 43213-2861",Brian D. Hamler,66.44200000000001,63.516000000000005,71.81400000000001,55.4,D,0.1,35.7,26.7,21.0,11.700000000000001,4.6000000000000005,0.2,109.012,90.8,0.0,1.2,7.4,8.6,39.5,40.7,2.5
Wickliffe City,18894909.2,Lake,2221 Rockefeller Rd,"Wickliffe, OH, 44092-2020",Joseph G. Spiccia,89.897,85.678,96.55600000000001,74.9,C,0.4,11.9,18.3,28.1,23.3,17.3,0.5,114.64,95.5,0.5,0.0,1.4000000000000001,6.8,31.5,55.0,5.0
Willard City,17596451.07,Huron,110 S Myrtle Ave,"Willard, OH, 44890-1425",Jeffery R. Ritz,75.99900000000001,72.99900000000001,84.14500000000001,63.300000000000004,D,0.2,24.6,24.2,27.900000000000002,15.9,7.2,0.1,,,5.6000000000000005,0.0,5.6000000000000005,5.6000000000000005,44.4,33.3,5.6000000000000005
Willoughby-Eastlake City,90930675.19,Lake,37047 Ridge Rd,"Willoughby, OH, 44094-4130",Stephen L. Thompson,87.197,84.405,90.819,72.7,C,0.2,14.700000000000001,18.5,29.900000000000002,23.2,13.3,0.2,112.70400000000001,93.9,0.0,0.6,1.7,12.8,33.7,49.7,1.6
Wilmington City,25552789.61,Clinton,341 S Nelson Ave,"Wilmington, OH, 45177-2034",Melinda A. Mccarty-Stewart,83.47,80.166,88.15100000000001,69.60000000000001,D,0.4,20.2,17.5,26.6,20.6,14.4,0.3,114.20400000000001,95.2,0.6,0.9,0.3,10.5,22.8,61.9,3.0
Wooster City,40050147.68,Wayne,144 N Market St,"Wooster, OH, 44691-4810",Michael L. Tefs,91.07600000000001,88.09100000000001,93.906,75.9,C,0.3,13.0,16.5,24.5,22.6,20.8,2.3000000000000003,116.599,97.2,0.9,0.3,1.3,4.9,16.6,61.800000000000004,14.200000000000001
Worthington City,127956685.28,Franklin,200 E Wilson Bridge Rd,"Worthington, OH, 43085-2332",Trent H. Bowers,96.01100000000001,93.465,95.13600000000001,80.0,B,0.7000000000000001,9.200000000000001,13.200000000000001,24.400000000000002,24.900000000000002,24.0,3.6,115.694,96.4,0.4,0.2,1.3,8.2,23.8,54.2,11.9
Wyoming City,25506628.76,Hamilton,420 Springfield Pike,"Wyoming, OH, 45215-4298",Susan K. Lang,107.158,104.525,107.956,89.3,B,0.2,2.4,6.0,18.8,31.7,40.9,0.2,115.8,96.5,0.1,0.0,0.2,6.8,26.5,65.9,0.5
Xenia Community City,47180181.11,Greene,819 Colorado Dr,"Xenia, OH, 45385-4859",Christy L. Fielding,80.215,76.73700000000001,86.96000000000001,66.8,D,0.4,22.1,20.400000000000002,26.3,18.6,12.1,0.0,110.42500000000001,92.0,0.0,1.4000000000000001,3.6,14.200000000000001,33.2,47.5,0.1
Youngstown City,92708071.37,Mahoning,PO Box 550,"Youngstown, OH, 44501-0550",Joseph S. Meranto,57.998000000000005,57.825,68.93,48.300000000000004,F,0.9,46.1,25.900000000000002,16.0,8.1,3.1,0.0,97.41900000000001,81.2,1.6,3.2,16.1,25.8,29.0,24.2,0.0
Zanesville City,40468716.32,Muskingum,956 Moxahala Ave,"Zanesville, OH, 43701-5533",Charles D. Baker,72.546,66.61,77.08500000000001,60.5,D,0.3,29.400000000000002,24.1,23.5,14.9,7.9,0.0,112.848,94.0,0.0,0.6,1.2,12.700000000000001,33.9,50.9,0.6
Ada Exempted Village,8611488.35,Hardin,725 W North Ave,"Ada, OH, 45810-1176",Meri C. Skilliter,95.587,94.01,97.263,79.7,C,0.0,8.1,14.9,29.0,24.0,23.0,0.9,116.429,97.0,0.0,0.8,0.0,4.0,26.2,63.5,5.6000000000000005
Amherst Exempted Village,36131426.05,Lorain,185 Forest St,"Amherst, OH, 44001-1605",Steven A. Sayers,97.95100000000001,94.51400000000001,97.555,81.60000000000001,B,0.1,6.4,12.9,28.8,28.0,23.0,0.9,114.49900000000001,95.4,0.0,0.3,1.4000000000000001,10.700000000000001,27.400000000000002,55.800000000000004,4.5
Barnesville Exempted Village,12769652.32,Belmont,210 W Church St,"Barnesville, OH, 43713-1069",Angela J. Hannahs,82.977,81.93,85.164,69.10000000000001,D,0.8,17.3,21.5,27.3,21.400000000000002,11.3,0.3,106.667,88.9,0.0,3.0,6.3,18.6,32.9,38.0,1.3
Bluffton Exempted Village,9997176.33,Allen,102 S Jackson St,"Bluffton, OH, 45817-1218",Gregory J. Denecker,102.944,102.18900000000001,102.75800000000001,85.8,B,0.0,5.0,9.0,22.5,27.5,35.2,0.8,116.129,96.8,0.0,0.0,0.0,9.4,22.900000000000002,64.8,2.9
Bradford Exempted Village,5771113.27,Miami,760 Railroad Ave,"Bradford, OH, 45308-8605",Joseph E. Hurst,82.483,76.26400000000001,89.924,68.7,D,0.0,18.0,21.900000000000002,29.6,22.7,7.3,0.4,110.0,91.7,0.0,3.0,3.0,18.2,27.3,39.4,9.1
Bridgeport Exempted Village,7875401.630000001,Belmont,55781 National Rd,"Bridgeport, OH, 43912-1528",Zachary E. Shutler,89.394,86.417,93.959,74.5,C,0.5,11.3,20.1,28.400000000000002,23.400000000000002,14.8,1.6,110.882,92.4,4.4,0.0,1.5,8.8,23.5,50.0,11.8
